Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ARTERY	9.502525518827167e-09	2.25472714508986e-09	1.251714956516246e-05
ISLET	4.032862672977191e-09	2.5487440726530525e-09	0.056791225098892985
LUNG	3.629870326312336e-09	2.460976487894752e-09	0.07011009500276247
HEART	2.3343126485955114e-09	2.4459585759484615e-09	0.16995200355881512
LIVER	2.1514986431537212e-09	3.1445682268941285e-09	0.24692594074931123
INTESTINE	1.3128256003271e-09	2.4923966970364443e-09	0.299189785053004
ADIPOSE	5.55152360812403e-10	2.3099699917796127e-09	0.4050376774978326
MUSCLE	-2.2859645608473934e-10	2.1759035842400614e-09	0.541835175822333
SKIN	-2.005057467904587e-09	2.2730407852614287e-09	0.8111396081766803
BRAIN	-3.5501783558586454e-09	1.6286619623550958e-09	0.9853643333522943
IMMUNE	-4.998504538422663e-09	1.9817704437844094e-09	0.9941695263247351
