Name	Coefficient	Coefficient_std_error	Coefficient_P_value
BRAIN	6.227595068981773e-09	2.1163443680919793e-09	0.0016272435878545261
ISLET	-7.052291908980283e-10	2.430895855078618e-09	0.6141342709470319
ARTERY	-3.104853828018747e-09	2.369296918415362e-09	0.9049787952134075
INTESTINE	-3.9639561517274e-09	2.357353856437183e-09	0.9536697837836446
MUSCLE	-3.1192564413841384e-09	1.7613788295492123e-09	0.9617127819289764
SKIN	-4.65347255998396e-09	2.5273398135928535e-09	0.967207769932497
LIVER	-5.007053910889613e-09	2.578401137374662e-09	0.9739267285839184
ADIPOSE	-5.267665789991605e-09	2.1850242852501435e-09	0.9920413050851405
LUNG	-6.3949984432774625e-09	2.184758356428771e-09	0.9982892862462617
IMMUNE	-7.558179969562865e-09	2.2588273349383812e-09	0.9995901620672552
HEART	-7.185586594215203e-09	2.1145829212721535e-09	0.9996607350603197
