Name	Coefficient	Coefficient_std_error	Coefficient_P_value
INTESTINE	4.959468248085889e-10	2.4094559676718913e-10	0.019778979395396964
IMMUNE	2.9800050189701265e-10	2.802688979555956e-10	0.14383057919212922
LUNG	2.2177417771759596e-10	2.4532035779011533e-10	0.18299275714478375
ISLET	1.4998495204570403e-10	2.345369286577818e-10	0.2612508169905816
LIVER	1.2080348918227801e-10	2.4247551016099585e-10	0.30916835855256963
ADIPOSE	1.1621859542741373e-10	2.3642747167032196e-10	0.31151475349405
BRAIN	6.554648761237923e-11	1.9456242511382607e-10	0.36809922962844654
SKIN	-2.776417331790499e-12	2.8262582738129995e-10	0.5039190064725015
ARTERY	-4.439153509127179e-11	2.1438068947371007e-10	0.5820219049965002
MUSCLE	-8.191249002440227e-11	2.4090120210340086e-10	0.6330812412982547
HEART	-4.0051786269433695e-10	2.3382814472766197e-10	0.9566320258855707
