Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ADIPOSE	7.334261577055911e-09	3.0119804374922734e-09	0.007445285384531346
ARTERY	7.666185405816155e-09	3.276371906277038e-09	0.009646006379099861
HEART	3.796986799082471e-09	3.0530771495630057e-09	0.10681255042712512
ISLET	2.8910060401904208e-09	3.5934176805789815e-09	0.21054598029971627
LIVER	1.7344356293284266e-09	3.749383189061062e-09	0.32182833012073075
INTESTINE	1.4696434186970263e-10	3.7026585394952873e-09	0.48416951006133163
IMMUNE	-7.645850945477822e-10	3.4658375366437878e-09	0.5873004461263219
SKIN	-1.936936757512577e-09	3.855738141749768e-09	0.6922899393869675
BRAIN	-2.814578828460116e-09	2.9752166559518538e-09	0.8279277530898601
MUSCLE	-5.355975777621267e-09	4.440237899041999e-09	0.8861367889556735
LUNG	-4.355320702437173e-09	3.052583251486612e-09	0.9231762617095796
