Name	Coefficient	Coefficient_std_error	Coefficient_P_value
LIVER	7.583057045718995e-09	2.7284150342901726e-09	0.002723891963483694
INTESTINE	2.875287639562419e-09	3.1146664637806417e-09	0.17796591800526923
MUSCLE	2.0801281694850874e-09	2.643672536434391e-09	0.21568988543870277
SKIN	1.847593097306366e-09	2.9163715839484457e-09	0.26319556570216107
IMMUNE	4.1135171609203337e-10	3.0674739630492477e-09	0.4466613041605508
ADIPOSE	2.4606209526025005e-10	2.560411625247344e-09	0.46171956163854483
ISLET	-2.1281417642951027e-10	2.4173037630949204e-09	0.5350766953487576
ARTERY	-4.993803004262014e-10	2.850204780414049e-09	0.5695421242324554
LUNG	-1.859591665091257e-09	2.753588486523943e-09	0.750268176203215
BRAIN	-3.5666660303051882e-09	1.893545360073043e-09	0.9701898767985007
HEART	-5.081061130809761e-09	2.4508018002059783e-09	0.9809242814582687
