Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IMMUNE	5.458053613209111e-09	1.8680360723594613e-09	0.0017399974764756273
LUNG	3.5693396051053975e-09	1.638757123118169e-09	0.014700143072625524
INTESTINE	3.95633424576047e-09	2.1531645762193675e-09	0.03307167731631181
ARTERY	2.1195695186601464e-10	1.2348516743597017e-09	0.4318580475678782
ADIPOSE	5.027357316233631e-11	1.5772183338157815e-09	0.48728593384972085
ISLET	-6.00501848591757e-10	1.5190774332085513e-09	0.6536918101013882
MUSCLE	-1.266426361039183e-09	1.5856696264612218e-09	0.7877590336496749
LIVER	-1.4766480201881498e-09	1.343164500363784e-09	0.8641987973406908
BRAIN	-1.6331272545525453e-09	1.1359324445932443e-09	0.9247400509703135
HEART	-1.6912374337330706e-09	1.0975836561790067e-09	0.9383261966377264
SKIN	-3.2202619697346683e-09	1.4534542196719467e-09	0.9866402814738915
