Name	Coefficient	Coefficient_std_error	Coefficient_P_value
HEART	3.0097613050606275e-09	1.1004931767507755e-09	0.003119767563391605
MUSCLE	4.5949863774107056e-09	1.939486873285807e-09	0.008913876022736085
ARTERY	1.0945399010741042e-09	1.7932928930417919e-09	0.2708143292472286
INTESTINE	8.23791550672031e-10	1.4427080837804236e-09	0.2839985916199183
LUNG	-8.787474336092223e-10	1.5558889546740605e-09	0.7138910199053792
ADIPOSE	-7.577318171493615e-10	1.0511827052438777e-09	0.764495221763221
LIVER	-1.0084550602362146e-09	1.145965505514832e-09	0.8105716252174371
ISLET	-1.9651449667487183e-09	1.2391560440168073e-09	0.9436160172889013
BRAIN	-2.3223043103427217e-09	1.354329336134167e-09	0.9568023024485942
SKIN	-2.7098459121968477e-09	1.4351041972086321e-09	0.9705042886275564
IMMUNE	-2.3959030656659154e-09	1.2195497778537319e-09	0.9752685639181804
