Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IMMUNE	4.12524319674109e-09	2.024921744321128e-09	0.020813205804629635
LUNG	2.505011680033288e-09	1.791458118185099e-09	0.08101017581906034
SKIN	1.6205701862416308e-09	1.842020258213306e-09	0.1894896030901282
ARTERY	5.25241913788383e-10	1.5823051023969678e-09	0.36996452486188885
INTESTINE	-6.419468876209236e-10	1.9673671012365766e-09	0.6279003450304886
ADIPOSE	-6.165598512968501e-10	1.624573436318927e-09	0.6478495200874412
BRAIN	-6.061519513062905e-10	1.544121386323493e-09	0.6526757610611578
LIVER	-6.241139126280291e-10	1.2993198255790283e-09	0.6845067992121254
MUSCLE	-2.6560463502628737e-09	1.6171625653854852e-09	0.9497476205227303
ISLET	-2.572839841958371e-09	1.5538181197163461e-09	0.9511206482374108
HEART	-2.5284334258894363e-09	1.267056086631775e-09	0.9770068020327017
