Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ARTERY	2.071342293669621e-10	2.227171480180942e-10	0.17617707830587032
ADIPOSE	1.9446232533471172e-10	2.2313366818788188e-10	0.19173897208351093
LUNG	2.018355289493567e-10	2.4576149663746226e-10	0.20574742237208055
HEART	1.686539189756131e-10	2.388257123290713e-10	0.24003813251490336
INTESTINE	1.4293356551321336e-10	2.4962748342997186e-10	0.2834620277679475
SKIN	7.763904212303197e-11	2.329391237982619e-10	0.3694532195435405
MUSCLE	-1.1486958380251025e-10	2.3511621153288586e-10	0.6874251995221508
ISLET	-1.203282052023598e-10	2.2383260689733769e-10	0.7045668997260852
IMMUNE	-1.8302291996823832e-10	2.5749193717004583e-10	0.7613930827495619
LIVER	-1.7604774536927807e-10	2.430210840440245e-10	0.7655940318748299
BRAIN	-2.1686898897408536e-10	2.1474012683655087e-10	0.8437316729440032
