Name	Coefficient	Coefficient_std_error	Coefficient_P_value
HEART	5.748998300368045e-09	1.3393053335724012e-09	8.832731492048538e-06
ARTERY	4.996752687585244e-09	1.7496389388709878e-09	0.0021459103588385557
MUSCLE	3.6973138207465826e-09	1.6244105064105188e-09	0.011420140238693043
ISLET	3.022443269818512e-10	1.544619819186577e-09	0.42243206279822637
INTESTINE	2.371149681704168e-11	1.7590797303743097e-09	0.49462262454854095
LIVER	-2.864459906712558e-10	1.499894955573394e-09	0.5757283376810226
LUNG	-4.558539606447571e-10	1.6789183351394911e-09	0.6070030785743262
SKIN	-1.3293399819373962e-09	1.830555693145172e-09	0.7661403130540256
ADIPOSE	-1.885948822862293e-09	1.5457701475327433e-09	0.8887809573938363
IMMUNE	-3.4970550464465024e-09	1.9540487431588725e-09	0.9632445613575629
BRAIN	-5.001122731551582e-09	1.4697819656160337e-09	0.9996662957926147
