Name	Coefficient	Coefficient_std_error	Coefficient_P_value
LUNG	1.4788352809497287e-07	6.580099455080944e-08	0.012306086234956272
IMMUNE	1.507315455813137e-07	7.006365882860441e-08	0.01572423982684428
ISLET	7.998221698506171e-08	7.539829645106041e-08	0.1443912930313644
INTESTINE	6.285356036068293e-08	7.088182139490776e-08	0.18761015508311119
LIVER	5.3513362257574044e-08	8.912472730759963e-08	0.2741090937058306
BRAIN	2.786719578539209e-08	6.427364758603866e-08	0.3322999641419602
MUSCLE	-4.2187334971605725e-08	7.303505598780758e-08	0.7182434677737217
ARTERY	-4.335389532512861e-08	5.921895935222321e-08	0.7679446623471886
HEART	-8.562965781054661e-08	7.595550376374599e-08	0.8702061308603848
SKIN	-9.42939018780795e-08	7.564460228133147e-08	0.8937166005860866
ADIPOSE	-1.0889864488103988e-07	7.662566746397338e-08	0.9223673617659564
