Name	Coefficient	Coefficient_std_error	Coefficient_P_value
LUNG	1.3819525717662405e-09	8.558083853843524e-10	0.053177868345662946
ADIPOSE	1.4300483561238736e-09	8.976212627525278e-10	0.05556289246584222
ARTERY	1.3521019577821538e-09	9.53428540155109e-10	0.07807390539282894
HEART	1.3635322536062273e-09	9.755222710245006e-10	0.08109469288621513
MUSCLE	5.731776731634832e-10	8.283851209068541e-10	0.24449323900921166
INTESTINE	6.645117088189881e-10	1.1722866473729925e-09	0.28540775205457697
IMMUNE	4.5489027214332e-10	1.2844208570915516e-09	0.36160955310637993
SKIN	-6.946756200692362e-10	1.043819609935202e-09	0.7471388148880909
ISLET	-8.887420476946172e-10	6.077360090593008e-10	0.9281816859981264
LIVER	-1.4097177865069938e-09	7.39015087984736e-10	0.971776134897874
BRAIN	-2.045894267677561e-09	7.619112295320235e-10	0.9963758248563281
