Name	Coefficient	Coefficient_std_error	Coefficient_P_value
LIVER	1.7060111773662286e-08	4.573134113641111e-09	9.554717209113455e-05
LUNG	5.000302586516616e-09	3.49409632935122e-09	0.07620482481159287
ISLET	6.880734742748615e-09	5.059665117824324e-09	0.08692777837995552
ADIPOSE	1.462404236206463e-09	3.0981828346037557e-09	0.31845625947276635
HEART	1.5639381077048777e-09	3.3823568799269257e-09	0.32190400264037267
IMMUNE	-1.2124207048073054e-09	4.588535622861877e-09	0.604197975232753
INTESTINE	-1.000640742186061e-09	3.335725741256041e-09	0.6179026206834662
BRAIN	-1.3721305749558119e-09	3.496582041725699e-09	0.652626240011724
SKIN	-3.2690999848455017e-09	4.5107082588055555e-09	0.7656948558485885
ARTERY	-3.879760393255187e-09	4.28661829608007e-09	0.817290220899761
MUSCLE	-3.6060961293190696e-09	3.670577790720655e-09	0.8370566705768825
