Name	Coefficient	Coefficient_std_error	Coefficient_P_value
ISLET	1.7223732131506928e-09	9.306303379162227e-10	0.03210205875473531
ADIPOSE	5.949727261285005e-10	1.228941706816112e-09	0.3141453109082692
SKIN	3.206595512610869e-10	1.159389904468785e-09	0.3910528049085271
LIVER	3.121366948736019e-10	1.2022805303059747e-09	0.3975782536503629
BRAIN	-7.409559903418175e-11	8.305126984943286e-10	0.5355451516422295
LUNG	-7.570548906948924e-10	1.3678876143142929e-09	0.7100217174090083
MUSCLE	-7.77297834275005e-10	1.3566968023097671e-09	0.7166553358108512
ARTERY	-9.653799761637247e-10	1.197141129867241e-09	0.7899951690986958
IMMUNE	-9.737802107350873e-10	9.036372678639268e-10	0.8593989602135241
INTESTINE	-1.6951251537926856e-09	9.938138000889112e-10	0.9559658653321531
HEART	-2.757678687788698e-09	1.0335684658459372e-09	0.9961860835606126
