Name	Coefficient	Coefficient_std_error	Coefficient_P_value
IMMUNE	3.6294393162012244e-09	8.929383038352143e-10	2.4057189300399673e-05
LUNG	1.4664583673210791e-09	8.200745708576492e-10	0.036871772883374544
LIVER	3.657762539998271e-10	5.97429007261136e-10	0.2701859919430466
ARTERY	1.804934630286697e-10	6.84714260058514e-10	0.39604251253595785
INTESTINE	2.2766048362600353e-11	7.474165826947651e-10	0.48785023608332007
MUSCLE	-2.9810376355964726e-11	5.810447092657907e-10	0.5204586740700988
SKIN	-2.0364885522121462e-10	9.38598368595763e-10	0.5858846222801479
ADIPOSE	-1.6190007691477405e-10	7.456852601199232e-10	0.5859409626105986
HEART	-3.2424383839873157e-10	5.949623606375056e-10	0.7071170866110844
BRAIN	-3.258093548753728e-10	5.189553629063447e-10	0.7349383104633839
ISLET	-1.4624881861965315e-09	7.799340227774602e-10	0.9696135053530124
