Name	Coefficient	Coefficient_std_error	Coefficient_P_value
LIVER	5.027805920084047e-09	2.4867936051312476e-09	0.021598371554152732
HEART	2.1200502618606885e-09	2.839458079057262e-09	0.22764073722100503
ADIPOSE	1.6264289679432622e-09	2.3117338703028977e-09	0.24085537004602453
LUNG	4.489323289968679e-10	2.2187266434570642e-09	0.41982631469306597
MUSCLE	3.014932550881877e-10	2.2162694067561015e-09	0.44589626276015515
INTESTINE	-1.0011766023715175e-09	2.6081665560849526e-09	0.6494597151163701
ARTERY	-1.0545055484473867e-09	1.644243629120625e-09	0.7393463985242767
ISLET	-1.3644944314334064e-09	1.4701150563301158e-09	0.8233363765985067
SKIN	-2.833079874428861e-09	1.6857258168615824e-09	0.9535825107695607
IMMUNE	-5.5817404220547386e-09	2.738447756282893e-09	0.9792393431733827
BRAIN	-4.514287510929914e-09	1.9826186543365323e-09	0.9886048514645909
