Name	Coefficient	Coefficient_std_error	Coefficient_P_value
BRAIN	6.495337561413763e-09	1.8587647963954306e-09	0.00023753083948736803
ISLET	-6.070866539975781e-10	1.858513557544056e-09	0.6280343405092492
IMMUNE	-7.557525445520223e-10	1.7450281605502496e-09	0.6675249521584903
MUSCLE	-1.173441432250587e-09	1.8519252543767915e-09	0.7368399044954239
ARTERY	-1.3907053145017275e-09	1.7606231895283377e-09	0.7852050992486121
INTESTINE	-2.0389388535607144e-09	1.8705520549273103e-09	0.8621477979240166
SKIN	-3.0617091824371882e-09	1.7708315396318277e-09	0.9580924936292816
LUNG	-3.4100370979157835e-09	1.9602334905970966e-09	0.9590360289719096
HEART	-4.076209402548018e-09	1.6907939180917863e-09	0.9920417731754712
ADIPOSE	-5.11843420472663e-09	1.97388507095191e-09	0.9952439140115277
LIVER	-5.907012531686013e-09	2.102427949684999e-09	0.9975199581453614
